"metric","retriever","model","0.0-0.1","0.1-0.2","0.2-0.3","0.3-0.4","0.4-0.5","0.5-0.6","0.6-0.7","0.7-0.8","0.8-0.9","0.9-1.0"
"cpe","bm25","qwen7b","0|2","0|20","0|53","1|29","1|368","1|573","1|272","29|4728","19|3475","322|28450"
"cpe","bm25","llama8b","0|4","0|5","0|34","1|99","3|333","1|715","18|2005","41|3208","104|10973","200|20064"
"cpe","contriever","qwen7b","1|6","0|12","3|33","4|71","6|220","13|380","39|755","174|3288","122|2504","2570|30702"
"cpe","contriever","llama8b","0|0","0|4","2|19","4|85","18|263","31|612","143|1896","254|2929","835|10753","1618|21056"
"cnpe","bm25","qwen7b","0|0","0|1","0|0","0|1","0|9","0|3","0|46","3|434","26|4664","345|32812"
"cnpe","bm25","llama8b","3|142","2|18","0|64","0|33","2|138","2|277","4|611","11|1649","62|5572","282|28936"
"cnpe","contriever","qwen7b","0|0","0|0","0|0","0|0","1|5","0|13","2|37","9|155","71|1451","2849|36310"
"cnpe","contriever","llama8b","8|128","2|18","0|50","0|16","7|140","16|220","22|493","82|1400","405|5204","2363|29948"
"cse","bm25","qwen7b","9|1199","4|2520","4|3233","8|3698","14|4441","17|3970","12|2434","29|4685","16|1729","252|9031"
"cse","bm25","llama8b","0|2990","3|4708","8|5259","15|4617","23|4249","26|3327","28|1854","57|3038","18|1725","189|3862"
"cse","contriever","qwen7b","25|733","38|1505","58|1983","75|2371","104|2913","124|3168","86|2218","264|4708","88|1716","1937|15443"
"cse","contriever","llama8b","13|1789","46|2976","80|3555","164|3610","211|3779","254|3577","204|2341","448|4477","165|2226","1310|8077"
"cmscp","bm25","qwen7b","9|1031","11|3361","8|4629","17|4967","20|4611","16|3708","10|2799","15|2105","16|1729","252|9031"
"cmscp","bm25","llama8b","1|1812","3|6652","14|6820","36|5150","30|4290","28|3051","27|2291","22|1788","18|1725","189|3862"
"cmscp","contriever","qwen7b","133|1214","53|2044","91|2895","117|3354","146|3564","152|3188","124|2575","91|1979","88|1716","1937|15443"
"cmscp","contriever","llama8b","10|1211","60|4185","146|4785","260|4540","294|4030","243|3468","213|2764","204|2332","165|2226","1310|8077"
