"metric","dataset","0.0-0.1","0.1-0.2","0.2-0.3","0.3-0.4","0.4-0.5","0.5-0.6","0.6-0.7","0.7-0.8","0.8-0.9","0.9-1.0"
"cpe","nq","0|8","1|20","1|63","4|137","8|385","19|943","53|1533","167|4487","404|6749","2275|23646"
"cpe","hotpotqa","0|5","1|24","5|92","18|332","54|918","124|2469","331|5699","769|12606","1383|16876","7009|42433"
"cpe","dbpedia-entity","0|0","0|2","1|6","6|20","14|43","37|141","52|239","152|581","234|900","829|2467"
"cpe","fever","0|1","0|0","0|7","2|19","2|75","5|197","10|445","61|1045","122|2055","552|4856"
"cpe","all","0|14","2|46","7|168","30|508","78|1421","185|3750","446|7916","1149|18719","2143|26580","10665|73402"
"cnpe","nq","0|0","0|0","0|0","0|0","1|5","0|13","1|34","3|67","37|557","2890|37295"
"cnpe","hotpotqa","0|8","0|1","1|3","1|4","1|15","11|57","19|159","34|323","148|1280","9479|79604"
"cnpe","dbpedia-entity","0|1","2|2","0|0","0|0","4|6","1|1","0|2","2|11","26|86","1289|4290"
"cnpe","fever","0|1","0|0","0|0","0|0","0|1","0|0","0|2","0|8","8|100","746|8588"
"cnpe","all","0|10","2|3","1|3","1|4","6|27","12|71","20|197","39|409","219|2023","14404|129777"
"cse","nq","63|2894","144|4778","254|5363","290|4831","372|4522","339|3509","244|1944","463|3357","100|935","635|3766"
"cse","hotpotqa","278|5699","657|11239","888|13621","1014|12214","1190|10920","1172|7535","699|3822","1336|5713","487|2110","1826|5620"
"cse","dbpedia-entity","64|313","161|579","173|655","176|662","192|599","167|460","78|235","127|349","42|115","109|250"
"cse","fever","10|398","38|997","67|1386","96|1450","154|1479","124|974","67|540","110|707","19|217","67|388"
"cse","all","415|9304","1000|17593","1382|21025","1576|19157","1908|17520","1802|12478","1088|6541","2036|10126","648|3377","2637|10024"
"mscp","nq","28|2073","210|7005","369|7381","430|5699","390|4310","352|3205","241|2068","177|1530","100|935","635|3766"
"mscp","hotpotqa","147|2962","859|15506","1344|18091","1345|13680","1256|9684","1020|6350","783|4422","627|3030","487|2110","1826|5620"
"mscp","dbpedia-entity","36|183","201|817","263|936","228|749","178|539","118|374","92|264","58|173","42|115","109|250"
"mscp","fever","2|165","51|1323","120|2012","142|1711","143|1235","82|772","80|517","48|361","19|217","67|388"
"mscp","all","213|5383","1321|24651","2096|28420","2145|21839","1967|15768","1572|10701","1196|7271","910|5094","648|3377","2637|10024"
